ppn,maa2,jvu,titel,deeltitel,editie,impressum,epn,copy_counter,sgn,mms_id_item,item_policy,mms_id_holding,mms_id,kmc4821,kmc4850
840365888,Aa,1984,De @ledervondsten / O. Goubitz,,,Amersfoort : Rijksdienst voor het Oudheidkundig Bodemonderzoek,096765062,1,GE 80189/198-1,23352516180007151,Reading room,22352516190007151,991025761889707151,,
840366744,Aa,1984,@Haver uit de Uithof van de priorij van Postel / Janneke Buurman,,,Amersfoort : Rijksdienst voor het Oudheidkundig Bodemonderzoek,096765445,1,GE 80189/199-1,23375414450007151,Reading room,22375414460007151,991025763169707151,,
840367740,Aa,1984,@Ländliche Siedlungen der Kaiserzeit in den Niederlanden / W.A. van Es,,,Amersfoort : Rijksdienst voor het Oudheidkundig Bodemonderzoek,096765836,1,GE 80189/200-1,23381907660007151,Reading room,22381907670007151,991025764909707151,,
840450885,Ab,1976,@Haarlems bodemonderzoek / uitg. van de Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek,,,"Haarlem : Gemeente Haarlem, Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek",001229494,1,T 6745,23371021350007151,Reading room,22371021510007151,991025850079707151,,
840450885,Ab,1976,@Haarlems bodemonderzoek / uitg. van de Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek,,,"Haarlem : Gemeente Haarlem, Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek",001229494,1,T 6745,23371021300007151,Reading room,22371021510007151,991025850079707151,,
840450885,Ab,1976,@Haarlems bodemonderzoek / uitg. van de Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek,,,"Haarlem : Gemeente Haarlem, Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek",001229494,1,T 6745,23371021310007151,Reading room,22371021510007151,991025850079707151,,
840450885,Ab,1976,@Haarlems bodemonderzoek / uitg. van de Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek,,,"Haarlem : Gemeente Haarlem, Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek",001229494,1,T 6745,23371021320007151,Reading room,22371021510007151,991025850079707151,,
840450885,Ab,1976,@Haarlems bodemonderzoek / uitg. van de Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek,,,"Haarlem : Gemeente Haarlem, Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek",001229494,1,T 6745,23371021330007151,Reading room,22371021510007151,991025850079707151,,
840450885,Ab,1976,@Haarlems bodemonderzoek / uitg. van de Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek,,,"Haarlem : Gemeente Haarlem, Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek",001229494,1,T 6745,23371021340007151,Reading room,22371021510007151,991025850079707151,,
840450885,Ab,1976,@Haarlems bodemonderzoek / uitg. van de Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek,,,"Haarlem : Gemeente Haarlem, Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek",001229494,1,T 6745,23371021360007151,Reading room,22371021510007151,991025850079707151,,
840450885,Ab,1976,@Haarlems bodemonderzoek / uitg. van de Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek,,,"Haarlem : Gemeente Haarlem, Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek",001229494,1,T 6745,23371021370007151,Reading room,22371021510007151,991025850079707151,,
840450885,Ab,1976,@Haarlems bodemonderzoek / uitg. van de Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek,,,"Haarlem : Gemeente Haarlem, Gemeentelijke Commissie voor Oudheidkundig Bodemonderzoek",001229494,1,T 6745,23371021380007151,Reading room,22371021510007151,991025850079707151,,
